District,Local Government,Network,Investment ID,Investment Name, 2024-25 to 2027-28 total budget ($'000) ,Committed total budget ($'000),Australian Government contribution ($’000),Queensland Government contribution ($’000),Local Government/Other Contribution ($’000),Estimated expenditure to 30 June 2024 ($’000),2024-25 ($’000), 2025-26 ($’000),2025-26 to 2026-27 ($'000),2026-27 to 2027-28 ($'000),2026-27 ($’000),2027-28 ($’000),Beyond ($’000),Endnotes,Web Link,Map,Midpoint Latitude,Midpoint Longitude
Far North,Other works,,,Transport Planning,10053691,0,0,10053691,0,0,4256884,2540000,3256807,3256807,2031807,1225000,0,,,0,,
Statewide,Various,State,B06735,New Generation Rollingstock compatible stabling yard upgrades,74400000,76900000,0,76900000,0,2500000,26500000,40570515,7329485,7329485,7329485,0,0,-  ,,0,,
Statewide,Various local governments,National,2003813,Bruce Highway Upgrade Strategy,16388250,20000000,20000000,0,0,611750,2500000,5000000,8888250,8888250,8888250,0,3000000,,,0,,
Statewide,Various local governments,National,3239649,"Bruce Highway, North Corridor Unallocated Northern Australia Road Program",0,154453000,154453000,0,0,0,0,0,0,0,0,0,154453000,Project details and timing subject to further planning and negotiation with the Australian Government.,,0,,
Statewide,Various local governments,National,2025917,"Bruce Highway, Queensland Government, funding commitment",250000000,3000000000,0,3000000000,0,0,0,0,250000000,250000000,0,250000000,2750000000,"Queensland Government $250 million per annum contribution towards joint investments on the Bruce Highway to 2038-39. A portion will match the Bruce Highway North corridor Australian Government commitment, subject to further planning and negotiation.",https://www.tmr.qld.gov.au/projects/programs/bruce-highway-upgrade-program ,0,,
Statewide,Various local governments,National,2617301,"Cunningham Highway planning, funding commitment",17627314,18350000,14680000,3670000,0,722686,1000000,5000000,11627314,11627314,7000000,4627314,0,,,1,-28.051516,152.382379
Statewide,Various local governments,National,842546,"Cunningham Highway, funding commitment",14390000,137600000,110080000,27520000,0,0,0,0,14390000,14390000,7120000,7270000,123210000,Project details and timing subject to further planning and negotiation with the Australian Government.,https://www.tmr.qld.gov.au/projects/cunningham-highway-upgrade ,0,,
Statewide,Various local governments,National,1217978,"Warrego Highway, funding commitment",72349643,361748214,289398571,72349643,0,0,0,0,72349643,72349643,0,72349643,289398571,Project details and timing subject to further planning and negotiation with the Australian Government.,https://www.tmr.qld.gov.au/projects/programs/warrego-highway-upgrade-program ,0,,
Statewide,Various local governments,State,3107518,Activity-Agent based model development,650000,650000,0,650000,0,0,0,50000,600000,600000,300000,300000,0,,,0,,
Statewide,Various local governments,State,2392871,"Aids to Navigation Network infrastructure, funding commitment",3954994,3954994,0,3954994,0,0,0,1318331,2636663,2636663,1318332,1318331,0,,,0,,
Statewide,Various local governments,State,2392872,"Aids to Navigation Network maintenance, funding commitment",1384081,1384081,0,1384081,0,0,0,375876,1008205,1008205,504103,504102,0,,,0,,
Statewide,Various local governments,State,3090371,AusRAP Star Ratings Development,3000000,3000000,0,3000000,0,0,650000,2350000,0,0,0,0,0,,,0,,
Statewide,Various local governments,State,903043,"Automatic Number Plate Recognition and Weigh in Motion, maintenance program",5500000,8433000,0,8433000,0,2933000,2500000,2500000,500000,500000,500000,0,0,,,0,,
Statewide,Various local governments,State,2789836,"Boating Infrastructure, funding commitment",17899491,17899491,0,17899491,0,0,0,7121166,10778325,10778325,5449173,5329152,0,,,0,,
Statewide,Various local governments,State,2652932,Boating Maintenance Program,4500000,7760001,0,7700001,60000,3260001,3000000,1500000,0,0,0,0,0,,,0,,
Statewide,Various local governments,State,2790086,"Boating Maintenance, funding commitment",61121646,61121646,0,61121646,0,0,0,22902646,38219000,38219000,18658000,19561000,0,,,0,,
Statewide,Various local governments,State,2611858,"Busway Tunnel Safety System, planning",511654,1036681,0,1036681,0,525027,250000,102007,159647,159647,159647,0,0,,,0,,
Statewide,Various local governments,State,2787001,"Camera Detected Offence Program, asset management, funding commitment",36046336,36046336,0,36046336,0,0,0,11046336,25000000,25000000,15000000,10000000,0,,,0,,
Statewide,Various local governments,State,3216882,Central Queensland Beef Roads Investment Strategy,2320471,2470471,0,2470471,0,150000,2320471,0,0,0,0,0,0,Australian Government Queensland Beef Corridors,,0,,
Statewide,Various local governments,State,2836152,Cooperative and Automated Vehicles (CAV) Project,39568000,45330000,0,45330000,0,5762000,10000000,29568000,0,0,0,0,0,,,0,,
Statewide,Various local governments,State,3089049,"Disaster Ready Fund, funding commitment",10930000,10930000,0,10930000,0,0,0,0,10930000,10930000,0,10930000,0,Project details and timing subject to further planning and consideration with the Australian Government.,,0,,
Statewide,Various local governments,State,2802566,"Enforcement Infrastructure, funding commitment",12200000,12200000,0,12200000,0,0,0,10000000,2200000,2200000,0,2200000,0,,,0,,
Statewide,Various local governments,State,2785938,"Fatal Crash Remediation, funding commitment",3282135,3282135,0,3282135,0,0,0,0,3282135,3282135,3282135,0,0,,,0,,
Statewide,Various local governments,State,14199,"Flashing School Zone Signs, Servicing and Maintenance Program",30508862,66644610,0,66635000,9610,36135748,5980000,6399000,18129862,18129862,12010862,6119000,0,,https://www.qld.gov.au/transport/safety/rules/schools/school-zone-speed-limits-and-signs ,0,,
Statewide,Various local governments,State,2542559,"Freight network policy, planning",918668,2000000,0,2000000,0,1081332,918668,0,0,0,0,0,0,,,0,,
Statewide,Various local governments,State,3078753,"Heavy Vehicle Rest Area Intelligent Transport System Management solution, rectification works and maintenance",645000,1290000,0,1290000,0,645000,645000,0,0,0,0,0,0,,,0,,
Statewide,Various local governments,State,2658624,Hold the Red (HTR) Implementation,1200000,1200000,0,1200000,0,0,200000,1000000,0,0,0,0,0,,,0,,
Statewide,Various local governments,State,3109884,"Improve bus station accessibility, planning",1650000,1650000,0,1650000,0,0,350000,400000,900000,900000,350000,550000,0,,,0,,
Statewide,Various local governments,State,2586600,"Inland Freight Route (Charters Towers to Mungindi), funding commitment",404931620,1000000000,800000000,200000000,0,19135380,30801192,75428309,298702119,298702119,148008739,150693380,575933000,Queensland Government has commenced early works package.,,0,,
Statewide,Various local governments,State,2788213,"Innovation and Trials and Capability, funding commitment",20557917,20557917,0,20557917,0,0,0,4558917,15999000,15999000,7999000,8000000,0,,,0,,
Statewide,Various local governments,State,2835468,"Installation of Enforcement infrastructure, various locations",13244466,13244466,0,13244466,0,0,5244466,8000000,0,0,0,0,0,,,0,,
Statewide,Various local governments,State,2529832,Installation of Smart Heavy Vehicle Monitoring Systems,4530033,9250000,0,9250000,0,4719967,3110136,1419897,0,0,0,0,0,,,0,,
Statewide,Various local governments,State,3079202,Installation of Weigh in Motion technology and Automatic Number Plate Recognition cameras for Heavy Vehicle Interception sites,2750000,4500000,2250000,2250000,0,1750000,2750000,0,0,0,0,0,0,Australian Government Road Safety Program,,0,,
Statewide,Various local governments,State,1485694,"Intelligent Transport System Pilot Program, piloting future technologies",1400000,14608259,0,13111257,1497002,13208259,700000,700000,0,0,0,0,0,,,0,,
Statewide,Various local governments,State,3246432,"Local Congestion Busting Program, funding commitment",100000000,100000000,0,100000000,0,0,3000000,17000000,80000000,80000000,30000000,50000000,0,Project details and timing subject to further planning.,,0,,
Statewide,Various local governments,State,2008163,Logan and Gold Coast Faster Rail,2328891767,5750155272,2875077636,2875077636,0,355390000,500000000,636519410,1192372357,1192372357,654326124,538046233,3065873505,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration.",https://www.tmr.qld.gov.au/projects/logan-and-gold-coast-faster-rail ,1,-27.669702,153.135149
Statewide,Various local governments,State,3107890,"Long-term rail network strategy initiatives, planning",1200000,1200000,0,1200000,0,0,60000,540000,600000,600000,600000,0,0,,,0,,
Statewide,Various local governments,State,3213722,"Maintenance of Infrastructure, Queensland Police Traffic Cameras Program",6595000,6595000,0,6595000,0,0,2745000,1800000,2050000,2050000,1450000,600000,0,,,0,,
Statewide,Various local governments,State,2661306,Model for urban land-use and transport interaction (Multi),1960000,2758249,0,2758249,0,798249,460000,500000,1000000,1000000,500000,500000,0,,,0,,
Statewide,Various local governments,State,QR1992,"Mount Isa Line, resilience improvements and track renewals",45085758,50000000,0,50000000,0,4914242,37654496,7431262,0,0,0,0,0,-  ,,0,,
Statewide,Various local governments,State,2417122,"New Generation Rollingstock, Automatic Train Operation and Platform Screen Doors fitment",186100758,275700000,0,275700000,0,89599242,83297369,78994767,23808622,23808622,23808622,0,0,This project is being delivered as a Public Private Partnership.,https://www.tmr.qld.gov.au/projects/New-Generation-Rollingstock ,0,,
Statewide,Various local governments,State,1805139,"New Generation Rollingstock, European Train Control System fitment, install new signalling",215560763,380484000,0,380484000,0,164923237,104048678,111512085,0,0,0,0,0,This project is being delivered as a Public Private Partnership.,https://www.tmr.qld.gov.au/projects/New-Generation-Rollingstock ,0,,
Statewide,Various local governments,State,3033000,"New Generation Rollingstock, integration and ancillary works",49040000,51600000,0,51600000,0,2560000,25240000,23800000,0,0,0,0,0,,,0,,
Statewide,Various local governments,State,3126892,"North Coast rail line (Exhibition station to Elimbah), improve capacity, planning",2500000,2500000,0,2500000,0,0,0,500000,2000000,2000000,2000000,0,0,,,0,,
Statewide,Various local governments,State,3246006,"Productivity Enhancement Program, funding commitment",100000000,100000000,0,100000000,0,0,3000000,17000000,80000000,80000000,30000000,50000000,0,Project details and timing subject to further planning.,,0,,
Statewide,Various local governments,State,1829692,Public transport model,1085707,2197435,0,2197435,0,1111728,330000,430707,325000,325000,325000,0,0,,,0,,
Statewide,Various local governments,State,2605407,"Queensland Beef Corridors, funding commitment",95029529,450104068,362059631,88044437,0,0,0,0,95029529,95029529,8750000,86279529,355074539,"Represents the balance of the $500 million Queensland Beef Corridors Program, with early works projects listed individually in QTRIP.",,0,,
Statewide,Various local governments,State,1804863,Queensland Train Manufacturing Program,2381300000,4869000000,0,4869000000,0,771860000,786000000,600000000,995300000,995300000,439800000,555500000,1715840000,,https://www.tmr.qld.gov.au/projects/rollingstock-expansion-program ,1,-25.369376,152.608119
Statewide,Various local governments,State,14105,"Queensland Transport snapshot benefits reporting, planning",850000,2084189,0,2084189,0,1234189,160000,290000,400000,400000,200000,200000,0,,,0,,
Statewide,Various local governments,State,1829507,"Queensland freight, goods and services model",1000000,1546762,0,1546762,0,546762,250000,250000,500000,500000,250000,250000,0,,,0,,
Statewide,Various local governments,State,2127637,Queensland long-term rail network strategy,296755,2746755,0,2746755,0,2450000,296755,0,0,0,0,0,0,,,0,,
Statewide,Various local governments,State,2635687,"Queensland walking network plans, Phase 2, planning",600000,650000,0,650000,0,50000,200000,150000,250000,250000,250000,0,0,,,0,,
Statewide,Various local governments,State,2038941,Rail Network Infrastructure Planning,8514294,14028250,0,14028250,0,5513956,3277147,2480960,2756187,2756187,2756187,0,0,,https://www.tmr.qld.gov.au/About-us/Corporate-information/Publications/SEQ-Rail-Connect ,0,,
Statewide,Various local governments,State,B00030,Rail station access improvements,90805584,155818000,0,155818000,0,65012416,57905584,25900000,7000000,7000000,7000000,0,0,"Rail station access improvements include Roma Street subway, Dutton Park train station and Boggo Road train station.",,0,,
Statewide,Various local governments,State,2920396,"Red Light Enforcement Camera Upgrade, installation of enforcement infrastructure, funding commitment",22860000,23000000,0,23000000,0,140000,5610000,9250000,8000000,8000000,8000000,0,0,,,0,,
Statewide,Various local governments,State,741100,Region focused strategic transport model development and maintenance planning,500000,1708302,0,1708302,0,1208302,150000,150000,200000,200000,150000,50000,0,,,0,,
Statewide,Various local governments,State,3081493,"Regional Level Crossing Upgrade Fund, funding commitment",50000000,50000000,50000000,0,0,0,0,25000000,25000000,25000000,25000000,0,0,Project details and timing subject to further planning and consideration with the Australian Government.,,0,,
Statewide,Various local governments,State,3234325,"Regional Level Crossing Upgrade Fund, funding commitment",10000000,10000000,0,10000000,0,0,0,0,10000000,10000000,0,10000000,0,,,0,,
Statewide,Various local governments,State,1878728,Regional city traffic model development and maintenance,642901,827901,0,827901,0,185000,150000,242901,250000,250000,150000,100000,0,,,0,,
Statewide,Various local governments,State,2778403,"Rest Area Asset Management, funding commitment",30040000,30040000,0,30040000,0,0,0,10040000,20000000,20000000,10000000,10000000,0,,,0,,
Statewide,Various local governments,State,2788344,"Road Camera Maintenance, funding commitment",7189000,7189000,0,7189000,0,0,0,0,7189000,7189000,0,7189000,0,,,0,,
Statewide,Various local governments,State,2787019,"Road Safety Minor Works, funding commitment",48713071,48713071,0,48713071,0,0,0,713071,48000000,48000000,24000000,24000000,0,,,0,,
Statewide,Various local governments,State,2788446,"Road Safety Technology Infrastructure, funding commitment",9011454,9011454,0,9011454,0,0,0,0,9011454,9011454,4011454,5000000,0,,,0,,
Statewide,Various local governments,State,2114960,Roadways Behaviour Monitoring System Trial,2200000,7500000,0,7500000,0,5300000,1600000,600000,0,0,0,0,0,,https://www.tmr.qld.gov.au/Safety/Road-safety/Road-safety-strategy-and-action-plans/Road-safety-research-reports ,0,,
Statewide,Various local governments,State,3146173,"Rollingstock program, planning",5000000,5000000,0,5000000,0,0,0,250000,4750000,4750000,2000000,2750000,0,,,0,,
Statewide,Various local governments,State,2798778,"Route Actions, funding commitment",1985960,1985960,0,1985960,0,0,0,1435960,550000,550000,550000,0,0,,,0,,
Statewide,Various local governments,State,2973903,"SEQ City Deal, funding commitment",62400000,62400000,30700000,31700000,0,0,3700000,29200000,29500000,29500000,29500000,0,0,,,0,,
Statewide,Various local governments,State,3147530,"SEQ level crossing program, planning",10000000,10000000,0,10000000,0,0,0,500000,9500000,9500000,3000000,6500000,0,,,0,,
Statewide,Various local governments,State,3107449,"SEQ network optimisation (Tranche 2), planning",1370000,1370000,0,1370000,0,0,0,300000,1070000,1070000,500000,570000,0,,,0,,
